"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-","IP","ERA","K","W","ER","H","BB","SV","HLD","QS","HB","GP"
"*05tq1*","Spencer Schwellenbach","ATL","SP","8514","kyfaess","Inj Res","26","0","0","72%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ydp*","Kade Anderson","SEA","SP","1342","Coop","Minors","21","0","0","66%","0%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*03deg*","Justin Steele","CHC","SP","8885","kyfaess","Inj Res","30","0","0","66%","-1%","0","0","0","0","0","0","0","0","0","0","0","0"
"*02bqy*","Joe Musgrove","SD","SP","6733","Greenbet","Inj Res","33","0","0","64%","-1%","0","0","0","0","0","0","0","0","0","0","0","0"
"*041rd*","Corbin Burnes","ARI","SP","2161","Sasso","Inj Res","31","0","0","64%","-2%","0","0","0","0","0","0","0","0","0","0","0","0"
"*0512m*","Ryan Pepiot","TB","SP","7301","kyfaess","Inj Res","28","0","0","62%","-1%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05tp6*","Thomas White","MIA","SP","9773","Coop","Minors","21","0","0","60%","-1%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*050vn*","Quinn Priester","MIL","SP","7606","KRetiree","Inj Res","25","0","0","57%","-2%","0","0","0","0","0","0","0","0","0","0","0","0"
"*067yn*","Seth Hernandez","PIT","SP","4728","Jpanner","Minors","19","0","0","56%","0%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*0603p*","Hurston Waldrep","ATL","SP","9630","zyoung51","Inj Res","24","0","0","55%","-1%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05zd4*","Hagen Smith","CHW","SP","8744","Sasso","Minors","22","0","0","53%","-1%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*05ynx*","River Ryan","LAD","SP","8270","Hutch","Minors","27","0","0","53%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ier*","Ryan Sloan","SEA","SP","8718","kyfaess","Minors","20","0","0","53%","0%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*06roc*","Liam Doyle","STL","SP","3372","Jpanner","Minors","22","0","0","50%","0%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*062h4*","Carlos Lagrange","NYY","SP","5418","GoldTY","Minors","23","0","0","49%","0%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*06ktt*","Jamie Arnold","ATH","SP","1462","Hutch","Minors","22","0","0","48%","0%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*05rb0*","Jackson Jobe","DET","SP","5099","Greenbet","Inj Res","23","0","0","47%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*043f9*","Pablo Lopez","MIN","SP","5724","KRetiree","Inj Res","30","0","0","45%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*062e0*","Cam Caminiti","ATL","SP","2278","GoldTY","Minors","19","0","0","44%","0%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*06icx*","Tyler Bremner","LAA","SP","2026","Jpanner","Minors","22","0","0","44%","0%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*05u2p*","Jaxon Wiggins","CHC","SP","9797","Sethmc44","Minors","24","0","0","43%","0%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*05ycl*","Travis Sykora","WSH","SP","9024","kyfaess","Minors","22","0","0","43%","0%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*05y7n*","Jarlin Susana","WSH","SP","9008","Sasso","Minors","22","0","0","42%","0%","0","0.00","0","0","0","0","0","0","0","0","0","0"
"*06f1b*","Brody Hopkins","TB","SP","4879","GoldTY","Minors","24","0","0","41%","0%","0","0.00","0","0","0","0","0","0","0","0","0","0"
