"ID","Player","Team","Position","RkOv","Status","Age","FPts","FP/G","Ros","+/-","AB","R","H","1B","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","GIDP","GP"
"*0473m*","Zach McKinstry","DET","2B,3B,SS,OF","608","FA","31","55","1.08","26%","-1%","145","9","24","18","3","1","2","10","20","32","1","3","0","2","51"
"*05jn0*","Adrian Del Castillo","ARI","UT","625","FA","26","55","1.2","10%","-1%","131","10","25","17","4","0","4","20","11","44","0","0","0","5","46"
"*031el*","Danny Jansen","TEX","C","607","FA","31","55","1.34","10%","0%","123","11","21","11","6","1","3","12","13","40","1","1","5","5","41"
"*05ahg*","Austin Wells","NYY","C","611","FA","26","54.5","1.16","37%","-1%","145","15","24","19","1","0","4","7","23","45","0","0","0","5","47"
"*02brk*","Austin Hedges","CLE","C","610","FA","33","54.5","1.47","3%","0%","100","12","26","19","6","0","1","9","10","19","1","1","0","3","37"
"*02yk4*","Tyler O'Neill","BAL","OF","615","FA","30","54","1.15","21%","-1%","125","15","23","16","5","0","2","8","14","38","1","0","2","2","47"
"*04vvy*","Andruw Monasterio","BOS","SS","621","FA","29","53.5","1.3","5%","0%","114","11","27","15","10","0","2","11","7","31","1","3","0","2","41"
"*03d6q*","Derek Hill","PHI","OF","619","FA","30","53.5","0.94","3%","0%","92","12","20","15","1","0","4","9","7","35","7","4","1","1","57"
"*0515f*","Drew Millas","WSH","C","620","FA","28","53.5","1.27","2%","0%","107","16","20","14","4","0","2","9","10","27","0","0","2","0","42"
"*05un2*","Edgar Quero","CHW","C","626","FA","23","53","0.98","23%","-1%","146","12","27","24","1","0","2","15","12","40","1","0","3","5","54"
"*0529l*","Endy Rodriguez","PIT","C,1B","622","FA","26","53","2.12","19%","0%","64","10","16","10","3","0","3","8","16","20","2","0","0","3","25"
"*04eoj*","Jared Young","NYM","1B","628","FA","30","53","1.71","12%","-1%","85","11","20","12","4","0","4","10","7","20","0","0","1","2","31"
"*031cd*","Mitch Garver","SEA","C","614","FA","35","53","1.39","4%","0%","95","14","18","13","2","0","3","11","17","36","0","0","0","0","38"
"*03qtv*","Brett Sullivan","COL","C","627","FA","32","53","1.36","2%","0%","101","8","22","12","6","0","4","13","5","22","0","0","1","3","39"
"*04pmw*","Alek Thomas","LAD","OF","630","FA","26","52.5","1.88","14%","0%","94","12","17","6","9","0","2","10","3","23","4","0","2","3","28"
"*04efi*","Connor Wong","BOS","C","631","FA","30","52.5","1.81","6%","0%","79","10","21","13","8","0","0","10","8","21","2","0","3","1","29"
"*041ah*","Josh Lowe","LAA","OF","637","FA","28","51.5","1.14","27%","-1%","125","8","23","16","2","0","5","14","6","39","1","0","1","0","45"
"*05gsg*","Justin Foscue","TEX","1B,2B","641","FA","27","51","1.59","11%","-1%","75","10","20","12","4","0","4","10","5","20","0","0","2","2","32"
"*03nri*","Lourdes Gurriel Jr.","ARI","OF","642","FA","32","50.5","1.74","29%","-1%","106","8","23","18","4","0","1","13","8","21","1","0","0","0","29"
"*03qyb*","Donovan Walton","LAA","2B","672","FA","32","49.5","2.25","5%","+2%","65","11","22","15","5","0","2","8","3","11","0","0","0","0","22"
"*04eep*","Luis Campusano","SD","C","652","FA","27","48.5","2.69","15%","0%","52","9","15","5","7","0","3","10","5","15","0","0","1","0","18"
"*03eet*","Yoan Moncada","LAA","3B","653","FA","31","48.5","1.18","10%","0%","111","9","21","16","1","1","3","10","17","45","1","0","2","2","41"
"*05jpu*","Daniel Susac","SF","C","659","FA","25","48","1.45","17%","-1%","94","5","27","21","5","1","0","14","6","22","1","1","2","3","33"
"*04yuu*","Patrick Bailey","CLE","C","656","FA","27","48","0.94","14%","0%","143","12","26","20","3","1","2","10","10","40","2","0","0","5","51"
"*05gwr*","Drew Romo","CHW","C","658","FA","24","48","1.66","10%","-2%","90","9","13","4","4","0","5","11","10","26","1","0","1","4","29"
"*03zcx*","Will Benson","CIN","OF","657","FA","28","48","0.94","6%","0%","96","11","18","11","3","1","3","6","16","38","1","1","1","0","51"
"*03pp5*","Blake Perkins","MIL","OF","665","FA","29","47","1.02","3%","0%","83","12","13","7","5","0","1","11","9","22","3","1","1","1","46"
"*04mrb*","Jorge Barrosa","ARI","OF","703","FA","25","46.5","0.86","3%","0%","102","12","18","6","9","1","2","9","8","35","0","0","1","1","54"
"*03qjv*","Harrison Bader","SF","OF","669","FA","32","46","1.53","22%","-1%","106","10","18","8","5","0","5","14","4","34","0","0","0","3","30"
"*05yfl*","Joey Loperfido","HOU","OF","670","FA","27","46","1.59","12%","-1%","76","11","19","12","7","0","0","7","12","22","1","1","1","1","29"
"*02mx2*","Tyrone Taylor","NYM","OF","671","FA","32","45.5","1.06","4%","0%","97","8","18","11","4","0","3","14","3","19","0","1","0","0","43"
"*04o78*","Matt Wallner","MIN","OF","674","FA","28","44.5","1.27","25%","0%","120","14","20","13","3","0","4","10","10","53","0","1","5","2","35"
"*06am0*","Mickey Gasper","BOS","C","677","FA","30","44","1.47","8%","-2%","97","11","25","19","5","1","0","6","7","20","0","1","1","2","30"
"*041vt*","Samad Taylor","SD","OF,UT","680","FA","27","43.5","3.62","32%","+11%","43","11","16","14","1","0","1","8","5","13","4","0","0","2","12"
"*041qd*","Jake Fraley","TB","OF","679","FA","31","43.5","1.45","7%","0%","82","6","19","10","7","0","2","5","8","25","3","0","0","1","30"
"*052ru*","Josh Smith","TEX","2B,SS","685","FA","28","43","1.26","29%","-1%","101","6","22","19","3","0","0","6","14","22","2","1","1","1","34"
