"ID","Player","Team","Position","RkOv","Status","Age","FPts","FP/G","Ros","+/-","AB","R","H","1B","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","GIDP","GP"
"*04efc*","Tyler Freeman","COL","OF","366","FA","27","129.5","1.85","18%","-1%","231","27","59","49","6","1","3","23","11","33","6","4","15","14","70"
"*04y94*","Jonny DeLuca","TB","OF","375","FA","28","127.5","2.12","14%","0%","178","23","46","26","14","0","6","28","9","39","9","3","0","6","60"
"*06bs4*","Daniel Schneemann","CLE","2B,3B,OF","376","FA","29","126.5","1.56","21%","-1%","246","28","52","35","11","0","6","28","24","79","6","2","0","5","81"
"*051dl*","Edouard Julien","COL","1B,2B","380","FA","27","125.5","1.55","12%","0%","219","34","48","36","8","1","3","20","35","65","5","3","1","6","81"
"*05ras*","Colton Cowser","BAL","OF","383","FA","26","125","1.42","49%","-3%","211","28","44","33","3","0","8","27","28","72","5","2","1","2","88"
"*0406v*","Esteury Ruiz","MIA","OF","386","FA","27","124.5","2.04","20%","-1%","102","25","25","11","8","1","5","10","15","35","20","3","5","0","61"
"*06dqd*","Ben Williamson","TB","2B,3B,SS,RP","390","FA","25","124","1.75","12%","0%","209","26","51","39","9","1","2","23","19","44","8","1","1","6","71"
"*04pmt*","Jeremiah Jackson","BAL","2B,OF","394","FA","26","122","1.67","18%","-1%","210","24","53","36","10","0","7","37","5","44","2","1","1","10","73"
"*031b2*","Jonah Heim","ATH","C","401","FA","31","119","2.2","19%","-2%","178","20","41","23","9","0","9","30","13","38","0","0","1","3","54"
"*04eew*","Ryan Vilade","TB","OF","407","FA","27","117.5","2.14","8%","0%","148","17","38","23","7","1","7","31","14","33","3","0","1","3","55"
"*03qmr*","Nathan Lukes","TOR","OF","410","FA","32","117","1.8","18%","-1%","210","23","61","48","8","0","5","18","12","34","0","1","5","7","65"
"*04pqf*","Nick Fortes","TB","C","419","FA","29","115","1.53","13%","0%","217","25","56","42","11","0","3","21","6","30","0","0","8","6","75"
"*0310n*","Ryan McMahon","NYY","3B","428","FA","31","112.5","1.39","25%","0%","217","24","47","29","9","0","9","26","18","73","3","2","0","6","81"
"*05xu0*","Drew Gilbert","SF","OF","432","FA","25","111.5","1.43","15%","0%","202","22","46","30","10","2","4","20","19","37","0","3","5","5","78"
"*05oxc*","Henry Davis","PIT","C","439","FA","26","110","1.69","13%","+1%","174","24","29","16","5","0","8","27","18","42","2","1","5","4","65"
"*01s9c*","Randal Grichuk","CHW","OF,UT","442","FA","34","109.5","1.68","6%","-1%","144","23","36","16","10","1","9","24","6","35","0","0","1","2","65"
"*01usi*","Marcell Ozuna","PIT","UT","444","FA","35","109","1.73","29%","-1%","231","20","48","34","6","0","8","28","25","78","0","0","2","5","63"
"*02yh5*","Amed Rosario","NYY","3B","449","FA","30","108","1.89","10%","-1%","152","20","36","22","4","1","9","27","11","40","1","0","0","1","57"
"*05rko*","Brandon Valenzuela","TOR","C","450","FA","25","107.5","1.82","16%","-1%","169","20","40","26","6","0","8","21","20","49","1","0","0","1","59"
"*05y7t*","Henry Bolte","ATH","OF","452","FA","22","107","1.88","50%","-4%","186","18","48","38","7","0","3","17","15","58","11","4","8","4","57"
"*05rcd*","Joe Mack","MIA","C","453","FA","23","106.5","1.87","37%","-2%","165","25","40","26","6","0","8","26","12","45","0","0","2","6","57"
"*05128*","Jared Triolo","PIT","3B,SS","455","FA","28","106","1.61","13%","0%","201","23","49","36","12","0","1","18","18","50","6","1","3","6","66"
"*05a1t*","Jorbit Vivas","WSH","2B,3B","457","FA","25","105.5","1.45","6%","0%","184","21","44","33","8","0","3","17","20","27","0","1","4","3","73"
"*04aq4*","Adolis Garcia","PHI","OF","460","FA","33","105","1.57","42%","-1%","231","21","45","29","8","1","7","21","21","84","3","0","4","2","67"
"*03zbp*","Jose Fermin","STL","2B,3B,OF","459","FA","27","105","1.64","7%","0%","168","18","45","32","9","0","4","20","15","26","3","0","0","7","64"
"*02z0t*","Michael Conforto","CHC","OF","462","FA","33","104.5","1.61","10%","-1%","146","20","35","17","10","0","8","22","19","49","1","0","0","3","65"
"*0473m*","Zach McKinstry","DET","2B,3B,SS,OF","465","FA","31","104","1.39","28%","-1%","230","21","44","31","7","2","4","19","26","46","1","4","0","4","75"
"*05r9j*","Marcelo Mayer","BOS","2B,3B,SS","467","FA","23","103","1.47","52%","0%","205","19","45","32","10","0","3","22","16","44","3","0","3","5","70"
"*03avk*","Luis Rengifo","SD","2B,3B","469","FA","29","103","1.69","13%","0%","194","22","43","34","9","0","0","19","20","26","3","2","1","2","61"
"*05r3s*","Alejandro Osuna","TEX","OF","468","FA","23","103","1.63","7%","0%","166","21","42","37","4","0","1","18","17","26","4","2","8","3","63"
"*04sxv*","Jose Tena","WSH","3B","473","FA","25","102.5","1.39","6%","0%","175","24","42","25","10","2","5","20","15","57","3","1","2","6","74"
"*063vu*","Matt Shaw","CHC","3B,OF","483","FA","24","100.5","1.79","54%","-1%","130","20","32","20","6","2","4","20","12","27","4","1","3","2","56"
"*04vvy*","Andruw Monasterio","BOS","2B,SS","482","FA","29","100.5","1.68","6%","+1%","163","20","39","18","15","1","5","17","13","39","2","3","0","2","60"
"*03d6q*","Derek Hill","PHI","OF","485","FA","30","100","1.32","5%","+1%","137","23","35","24","3","0","8","17","10","56","10","4","1","1","76"
"*05rbs*","Moises Ballesteros","CHC","UT","487","FA","22","99","1.68","49%","-1%","156","16","36","24","6","0","6","23","17","36","1","0","0","1","59"
"*05tce*","Connor Norby","MIA","1B,3B","488","FA","26","99","1.52","27%","-1%","200","17","41","25","12","0","4","16","24","70","6","3","8","5","65"
"*04an8*","Wenceel Perez","DET","OF","491","FA","26","98.5","1.86","13%","0%","161","22","29","17","4","1","7","17","14","29","3","1","0","1","53"
"*029us*","Christian Vazquez","HOU","C","496","FA","35","96.5","1.58","8%","-1%","175","18","38","27","6","0","5","22","14","33","1","0","0","2","61"
"*03qqb*","Myles Straw","TOR","OF","500","FA","31","96","1.09","4%","0%","154","26","34","25","6","0","3","16","13","22","3","1","0","2","88"
"*04q56*","Logan O'Hoppe","LAA","C","509","FA","26","94.5","1.33","40%","-1%","219","20","47","35","8","0","4","23","17","59","0","0","3","6","71"
"*041ah*","Josh Lowe","LAA","OF","507","FA","28","94.5","1.5","30%","-1%","180","17","36","24","4","0","8","22","11","53","3","0","1","0","63"
"*06c36*","Brice Matthews","HOU","2B,OF","508","FA","24","94.5","1.15","22%","-1%","208","23","41","28","5","1","7","22","15","71","4","4","0","3","82"
"*05t9l*","Max Muncy","ATH","3B","512","FA","23","94","2.04","35%","-6%","154","24","35","21","7","2","5","20","14","58","3","2","4","4","46"
"*05rkq*","Jose Fernandez","ARI","1B,SS","511","FA","22","94","1.71","20%","-1%","165","23","42","32","7","0","3","15","7","40","7","2","1","2","55"
"*04eoj*","Jared Young","NYM","1B","513","FA","31","94","1.74","8%","+1%","148","17","36","23","7","0","6","18","13","34","0","0","5","3","54"
"*05xu1*","Alex Freeland","LAD","2B,3B","515","FA","24","93.5","1.32","22%","0%","195","24","46","36","7","0","3","19","22","67","2","0","1","5","71"
"*04ehj*","Dane Myers","CIN","OF","516","FA","30","93","1.37","6%","0%","126","19","33","23","7","0","3","14","20","38","6","0","2","4","68"
"*066cn*","Wade Meckler","LAA","OF","518","FA","26","92","2","13%","-1%","129","19","39","29","8","0","2","17","14","32","3","0","0","1","46"
"*02zpf*","Edmundo Sosa","PHI","2B,3B,OF","519","FA","30","92","1.7","9%","0%","152","17","34","23","5","1","5","25","5","34","3","0","4","4","54"
"*01usr*","Kyle Higashioka","TEX","C","521","FA","36","91.5","1.58","8%","0%","165","20","36","25","4","0","7","18","19","47","0","0","2","5","58"
"*02yk4*","Tyler O'Neill","BAL","OF","532","FA","31","90.5","1.46","20%","0%","161","22","33","20","7","0","6","15","19","51","1","0","2","2","62"
"*03xs3*","Miguel Amaya","CHC","C","529","FA","27","90.5","1.68","13%","0%","138","26","32","21","8","0","3","15","18","39","0","0","7","5","54"
"*05132*","Ryan Kreidler","MIN","SS,OF","530","FA","28","90.5","1.62","9%","-2%","142","21","34","23","4","2","5","24","12","31","0","3","1","6","56"
"*03b6k*","Jorge Mateo","ATL","SS","531","FA","31","90.5","1.44","9%","-1%","127","28","31","21","6","0","4","11","8","41","9","1","0","2","63"
