"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-"
"*0597k*","Nick Gonzales","PIT","2B,3B","164","zyoung51","Active","27","145","2.3","61%","-1%"
"*05y7s*","Nolan McLean","NYM","SP","166","joeybats","Active","24","145","11.15","99%","0%"
"*05gsi*","Ceddanne Rafaela","BOS","OF","167","Sethmc44","Reserve","25","144.5","2.26","93%","-1%"
"*04ej3*","Riley O'Brien","STL","RP","168","Sasso","Active","31","144","4.97","92%","-1%"
"*041qb*","Bo Bichette","NYM","3B,SS","171","Sethmc44","Reserve","28","143","2.1","98%","0%"
"*04y95*","JJ Bleday","CIN","OF","172","kyfaess","Reserve","28","143","3.67","82%","0%"
"*05ua7*","Jackson Merrill","SD","OF","175","kyfaess","Active","23","142","2.22","98%","0%"
"*05u3u*","Konnor Griffin","PIT","SS","174","Coop","Reserve","20","142","2.78","98%","0%"
"*03pom*","Austin Riley","ATL","3B","177","GoldTY","Active","29","141.5","2.08","98%","-1%"
"*05zh9*","Luke Keaschall","MIN","2B","176","JMerkle","Reserve","23","141.5","2.21","88%","-3%"
"*04efa*","Daulton Varsho","TOR","OF","178","kyfaess","Reserve","29","141.5","2.21","78%","-6%"
"*04yie*","George Kirby","SEA","SP","179","CLANK","Active","28","141","10.07","99%","0%"
"*01ut7*","Nathan Eovaldi","TEX","SP","180","zyoung51","Active","36","141","10.85","98%","0%"
"*04mlt*","Shane McClanahan","TB","SP","181","kyfaess","Active","29","141","11.75","97%","0%"
"*04rzp*","Rico Garcia","BAL","RP","182","Hutch","Reserve","32","141","4.7","70%","-1%"
"*060jo*","Cam Smith","HOU","OF","183","GoldTY","Reserve","23","140","2.03","76%","-3%"
"*02i2j*","Max Fried","NYY","SP","184","Sasso","Reserve","32","139","13.9","99%","0%"
"*04aok*","Gregory Soto","PIT","RP","185","KRetiree","Active","31","139","4.63","81%","-1%"
"*041r1*","Jesus Luzardo","PHI","SP","187","CLANK","Active","28","138","9.86","99%","0%"
"*04mnw*","Ryan Weathers","NYY","SP","189","GoldTY","Active","26","138","11.5","92%","-1%"
"*04mn5*","Alec Bohm","PHI","3B","190","CLANK","Active","29","137.5","2.15","67%","-2%"
"*02n2x*","Paul Sewald","ARI","RP","191","Sethmc44","Active","36","137","5.07","80%","0%"
"*01svq*","Manny Machado","SD","3B","192","KRetiree","Active","33","136.5","2.1","99%","0%"
"*05y72*","Landen Roupp","SF","SP","193","kyfaess","Reserve","27","136","10.46","88%","-3%"
"*0622w*","Chandler Simpson","TB","OF","194","Jpanner","Active","25","135.5","2.15","92%","-4%"
"*06gwk*","Payton Tolle","BOS","SP,RP","195","kyfaess","Active","23","135","15","91%","0%"
"*05mdt*","Evan Carter","TEX","OF","196","KRetiree","Reserve","23","135","2.08","62%","-3%"
"*03et8*","Ranger Suarez","BOS","SP","198","Coop","Active","30","133","11.08","97%","0%"
"*05u9q*","Jac Caglianone","KC","OF","199","Sasso","Active","23","132.5","2.1","90%","+2%"
"*04ya4*","Nasim Nunez","WSH","2B,SS","200","zyoung51","Reserve","25","132.5","2.07","40%","-3%"
"*0629b*","Walbert Urena","LAA","SP","201","CLANK","Active","22","132","11","61%","0%"
"*04mlf*","Casey Mize","DET","SP","202","GoldTY","Reserve","29","132","14.67","91%","0%"
"*04b02*","Seiya Suzuki","CHC","OF,UT","204","Sethmc44","Active","31","132","2.4","98%","0%"
"*041e2*","Mickey Moniak","COL","OF","203","Sasso","Reserve","28","132","3.07","92%","-1%"
