name,mlb_id,recent_games,recent_fpts,recent_fpg,group
José Fermín,665877,25,53.5,2.14,hitting
Nick Loftin,679845,25,53.5,2.14,hitting
Justin Foscue,679822,23,53.0,2.3,hitting
Travis Bazzana,683953,22,53.0,2.41,hitting
Ian Happ,664023,25,53.0,2.12,hitting
Erik Miller,669062,10,53.0,5.3,pitching
Luis Gastelum,703725,14,53.0,3.79,pitching
Tyrone Taylor,621438,18,52.5,2.92,hitting
Jonah Cox,813841,22,52.5,2.39,hitting
Brett Baty,683146,20,52.0,2.6,hitting
Nico Hoerner,663538,26,52.0,2.0,hitting
Dylan Beavers,687637,26,52.0,2.0,hitting
Max Clark,703601,26,52.0,2.0,hitting
Jarren Duran,680776,26,52.0,2.0,hitting
Nathaniel Lowe,663993,25,52.0,2.08,hitting
Daulton Varsho,662139,25,52.0,2.08,hitting
Colson Montgomery,695657,25,52.0,2.08,hitting
Brandyn Garcia,805299,12,52.0,4.33,pitching
Daniel Duarte,650960,11,52.0,4.73,pitching
George Klassen,691946,3,52.0,17.33,pitching
Gavin Williams,668909,5,52.0,10.4,pitching
Turner Hill,806367,20,51.5,2.58,hitting
Taylor Walls,670764,22,51.5,2.34,hitting
Luis Robert Jr.,673357,21,51.5,2.45,hitting
Lars Nootbaar,663457,22,51.0,2.32,hitting
Jeremy Peña,665161,24,51.0,2.12,hitting
Tim Herrin,682120,12,51.0,4.25,pitching
Reiver Sanmartin,665665,16,51.0,3.19,pitching
Scott Blewett,656240,12,51.0,4.25,pitching
Trevor Megill,656730,10,51.0,5.1,pitching
Andrew Alvarez,674841,5,51.0,10.2,pitching
Thomas Saggese,695336,10,50.5,5.05,hitting
Luis Lara,800325,26,50.0,1.92,hitting
Kevin Kelly,687330,14,50.0,3.57,pitching
Randy Vásquez,681190,5,50.0,10.0,pitching
Randy Dobnak,677976,5,50.0,10.0,pitching
Wade Meckler,685133,21,49.5,2.36,hitting
Michael Conforto,624424,21,49.5,2.36,hitting
Jung Hoo Lee,808982,25,49.5,1.98,hitting
Jordan Romano,605447,11,49.0,4.45,pitching
Gordon Graceffo,700669,10,49.0,4.9,pitching
Anthony Molina,683627,3,49.0,16.33,pitching
Jared Jones,683003,4,49.0,12.25,pitching
José Soriano,667755,6,49.0,8.17,pitching
Luis Arraez,650333,26,48.5,1.87,hitting
Willi Castro,650489,20,48.5,2.42,hitting
Hao-Yu Lee,701678,24,48.5,2.02,hitting
Carson Kelly,608348,19,48.5,2.55,hitting
Andrew Benintendi,643217,24,48.5,2.02,hitting
Edmundo Sosa,624641,13,48.0,3.69,hitting
Angel Martínez,682657,23,48.0,2.09,hitting
Chase Meidroth,805367,25,48.0,1.92,hitting
Jackson Holliday,702616,27,48.0,1.78,hitting
John Rave,670231,19,48.0,2.53,hitting
Julio Rodríguez,677594,26,48.0,1.85,hitting
Calvin Faucher,676534,11,48.0,4.36,pitching
Nick Gonzales,693304,20,47.5,2.38,hitting
Bryson Stott,681082,25,47.5,1.9,hitting
A.J. Ewing,805999,25,47.0,1.88,hitting
Tyler Rogers,643511,12,47.0,3.92,pitching
Landen Roupp,694738,5,47.0,9.4,pitching
Kyle Leahy,681517,5,47.0,9.4,pitching
Grant Holmes,656550,5,47.0,9.4,pitching
Bubba Chandler,696149,5,47.0,9.4,pitching
Taj Bradley,671737,5,47.0,9.4,pitching
Jacob Young,696285,23,46.5,2.02,hitting
Andrés Giménez,665926,22,46.5,2.11,hitting
Trea Turner,607208,24,46.5,1.94,hitting
Randal Grichuk,545341,21,46.0,2.19,hitting
JJ Bleday,668709,28,46.0,1.64,hitting
Josh Walker,677020,13,46.0,3.54,pitching
Luis Mey,682825,13,46.0,3.54,pitching
Evan Phillips,623465,12,46.0,3.83,pitching
Jonathan Bowlan,680742,11,46.0,4.18,pitching
Drew Sommers,805427,11,46.0,4.18,pitching
Michael Massey,686681,18,45.5,2.53,hitting
Josh Naylor,647304,24,45.5,1.9,hitting
Royce Lewis,668904,26,45.5,1.75,hitting
Willson Contreras,575929,18,45.5,2.53,hitting
Brandon Nimmo,607043,27,45.5,1.69,hitting
Cole Carrigg,694249,25,45.5,1.82,hitting
Myles Straw,664702,27,45.0,1.67,hitting
Kyle Isbel,664728,24,45.0,1.88,hitting
Ozzie Albies,645277,27,45.0,1.67,hitting
Gregory Soto,642397,11,45.0,4.09,pitching
Kenley Jansen,445276,10,45.0,4.5,pitching
Adrian Houser,605288,3,45.0,15.0,pitching
Munetaka Murakami,808959,27,44.0,1.63,hitting
Bryan Baker,641329,11,44.0,4.0,pitching
Brent Suter,608718,8,44.0,5.5,pitching
Steven Okert,595345,11,44.0,4.0,pitching
Tyler Phillips,663969,5,44.0,8.8,pitching
Luis Campusano,669134,19,43.5,2.29,hitting
Austin Riley,663586,26,43.5,1.67,hitting
Adael Amador,691182,11,43.0,3.91,hitting
Josh Lowe,666139,24,43.0,1.79,hitting
Leody Taveras,665750,26,43.0,1.65,hitting
Matt Olson,621566,27,43.0,1.59,hitting
Cole Young,702284,25,43.0,1.72,hitting
CJ Abrams,682928,22,43.0,1.95,hitting
Yuki Matsui,673513,12,43.0,3.58,pitching
Cam Sanders,676742,13,43.0,3.31,pitching
Carson Seymour,693313,13,43.0,3.31,pitching
Andrés Muñoz,662253,10,43.0,4.3,pitching
Erick Fedde,607200,5,43.0,8.6,pitching
Cooper Pratt,806198,16,42.5,2.66,hitting
Cedric Mullins,656775,23,42.5,1.85,hitting
Ildemaro Vargas,545121,26,42.5,1.63,hitting
Andrew Vaughn,683734,25,42.0,1.68,hitting
Ketel Marte,606466,12,42.0,3.5,hitting
Hunter Goodman,696100,16,42.0,2.62,hitting
